x;y
0,7;0,02
0,02;0,9992
0,9992;-0,99680128
-0,99680128;-0,987225584
-0,987225584;-0,949228706
-0,949228706;-0,802070272
-0,802070272;-0,286633443
-0,286633443;0,835682538
0,835682538;-0,39673061
-0,39673061;0,685209646
0,685209646;0,060975483
0,060975483;0,992563981
0,992563981;-0,970366513
-0,970366513;-0,883222338
-0,883222338;-0,560163396
-0,560163396;0,37243394
0,37243394;0,722585921
0,722585921;-0,044260825
-0,044260825;0,996081959
0,996081959;-0,984358537
-0,984358537;-0,937923459
-0,937923459;-0,759400828
-0,759400828;-0,153379236
-0,153379236;0,95294962
0,95294962;-0,816225957
-0,816225957;-0,332449625
-0,332449625;0,778954494
0,778954494;-0,213540207
-0,213540207;0,90880116
0,90880116;-0,651839096
-0,651839096;0,150211585
0,150211585;0,954872959
0,954872959;-0,823564737
-0,823564737;-0,356517751
-0,356517751;0,745790186
0,745790186;-0,112406003
-0,112406003;0,974729781
0,974729781;-0,900196292
-0,900196292;-0,620706728
-0,620706728;0,229446316
0,229446316;0,894708776
0,894708776;-0,601007589
-0,601007589;0,277579755
0,277579755;0,845898959
0,845898959;-0,431090097
-0,431090097;0,628322656
0,628322656;0,210421279
0,210421279;0,91144577
0,91144577;-0,661466784
-0,661466784;0,124923386
0,124923386;0,968788295
0,968788295;-0,877101522
-0,877101522;-0,538614158
-0,538614158;0,419789577
0,419789577;0,647553422
0,647553422;0,161349132
0,161349132;0,947932915
0,947932915;-0,797153622
-0,797153622;-0,270907795
-0,270907795;0,853217933
0,853217933;-0,455961684
-0,455961684;0,584197886
0,584197886;0,317425659
0,317425659;0,798481902
0,798481902;-0,275146695
-0,275146695;0,848588592
0,848588592;-0,440205198
-0,440205198;0,612438767
0,612438767;0,249837514
0,249837514;0,875162434
0,875162434;-0,53181857
-0,53181857;0,434338017
0,434338017;0,622700974
0,622700974;0,224486993
0,224486993;0,89921118
0,89921118;-0,617161492
-0,617161492;0,238223386
0,238223386;0,886499237
0,886499237;-0,571761795
-0,571761795;0,3461769
0,3461769;0,760323108
0,760323108;-0,156182456
-0,156182456;0,951214081
0,951214081;-0,809616455
-0,809616455;-0,310957607
-0,310957607;0,806610733
0,806610733;-0,30124175
-0,30124175;0,818506816
0,818506816;-0,339906815
-0,339906815;0,768926714
0,768926714;-0,182496583
-0,182496583;0,933389995
0,933389995;-0,742433764
-0,742433764;-0,102415789
-0,102415789;0,979022012
0,979022012;-0,916968202
-0,916968202;-0,681661366
-0,681661366;0,070675565
0,070675565;0,990009929
0,990009929;-0,960239319
-0,960239319;-0,8441191
